country,iso3,dev_level,region,year,asset,return_pct,shock_event
Canada,CAN,developed,NorthAmerica,1990,equities,-12.28,Gulf War / S&L crisis
Canada,CAN,developed,NorthAmerica,1991,equities,9.07,Recession
Canada,CAN,developed,NorthAmerica,1992,equities,1.35,
Canada,CAN,developed,NorthAmerica,1993,equities,-24.15,
Canada,CAN,developed,NorthAmerica,1994,equities,-11.97,
Canada,CAN,developed,NorthAmerica,1995,equities,7.36,
Canada,CAN,developed,NorthAmerica,1996,equities,17.35,
Canada,CAN,developed,NorthAmerica,1997,equities,0.83,Asian Financial Crisis
Canada,CAN,developed,NorthAmerica,1998,equities,-6.62,LTCM / Russia default
Canada,CAN,developed,NorthAmerica,1999,equities,21.49,
Canada,CAN,developed,NorthAmerica,2000,equities,29.83,
Canada,CAN,developed,NorthAmerica,2001,equities,-1.58,Dot-com bust / 9-11
Canada,CAN,developed,NorthAmerica,2002,equities,3.76,Corporate scandals
Canada,CAN,developed,NorthAmerica,2003,equities,22.22,
Canada,CAN,developed,NorthAmerica,2004,equities,20.45,
Canada,CAN,developed,NorthAmerica,2005,equities,1.72,
Canada,CAN,developed,NorthAmerica,2006,equities,8.39,
Canada,CAN,developed,NorthAmerica,2007,equities,22.43,
Canada,CAN,developed,NorthAmerica,2008,equities,-4.98,Global Financial Crisis
Canada,CAN,developed,NorthAmerica,2009,equities,-20.55,GFC trough
Canada,CAN,developed,NorthAmerica,2010,equities,1.34,
Canada,CAN,developed,NorthAmerica,2011,equities,-4.62,Euro debt crisis
Canada,CAN,developed,NorthAmerica,2012,equities,9.28,
Canada,CAN,developed,NorthAmerica,2013,equities,17.22,
Canada,CAN,developed,NorthAmerica,2014,equities,10.38,
Canada,CAN,developed,NorthAmerica,2015,equities,-4.28,China slowdown
Canada,CAN,developed,NorthAmerica,2016,equities,36.48,
Canada,CAN,developed,NorthAmerica,2017,equities,-5.23,
Canada,CAN,developed,NorthAmerica,2018,equities,13.34,
Canada,CAN,developed,NorthAmerica,2019,equities,7.35,
Canada,CAN,developed,NorthAmerica,2020,equities,-15.66,COVID-19
Canada,CAN,developed,NorthAmerica,2021,equities,20.24,COVID recovery / stimulus
Canada,CAN,developed,NorthAmerica,2022,equities,-2.06,Inflation / rate hike cycle
Canada,CAN,developed,NorthAmerica,2023,equities,12.31,Rates plateau
Canada,CAN,developed,NorthAmerica,2024,equities,18.61,
UK,GBR,developed,Europe,1985,equities,-0.86,
UK,GBR,developed,Europe,1986,equities,16.02,
UK,GBR,developed,Europe,1987,equities,-14.45,Black Monday
UK,GBR,developed,Europe,1988,equities,27.13,
UK,GBR,developed,Europe,1989,equities,-11.78,
UK,GBR,developed,Europe,1990,equities,9.64,Gulf War / S&L crisis
UK,GBR,developed,Europe,1991,equities,6.26,Recession
UK,GBR,developed,Europe,1992,equities,10.94,
UK,GBR,developed,Europe,1993,equities,9.48,
UK,GBR,developed,Europe,1994,equities,17.98,
UK,GBR,developed,Europe,1995,equities,18.57,
UK,GBR,developed,Europe,1996,equities,4.63,
UK,GBR,developed,Europe,1997,equities,14.33,Asian Financial Crisis
UK,GBR,developed,Europe,1998,equities,-14.23,LTCM / Russia default
UK,GBR,developed,Europe,1999,equities,-6.14,
UK,GBR,developed,Europe,2000,equities,9.67,
UK,GBR,developed,Europe,2001,equities,-4.56,Dot-com bust / 9-11
UK,GBR,developed,Europe,2002,equities,-3.47,Corporate scandals
UK,GBR,developed,Europe,2003,equities,30.14,
UK,GBR,developed,Europe,2004,equities,9.41,
UK,GBR,developed,Europe,2005,equities,14.93,
UK,GBR,developed,Europe,2006,equities,12.59,
UK,GBR,developed,Europe,2007,equities,6.39,
UK,GBR,developed,Europe,2008,equities,-3.63,Global Financial Crisis
UK,GBR,developed,Europe,2009,equities,-6.1,GFC trough
UK,GBR,developed,Europe,2010,equities,11.14,
UK,GBR,developed,Europe,2011,equities,16.29,Euro debt crisis
UK,GBR,developed,Europe,2012,equities,13.3,
UK,GBR,developed,Europe,2013,equities,15.2,
UK,GBR,developed,Europe,2014,equities,0.08,
UK,GBR,developed,Europe,2015,equities,9.28,China slowdown
UK,GBR,developed,Europe,2016,equities,13.55,
UK,GBR,developed,Europe,2017,equities,2.45,
UK,GBR,developed,Europe,2018,equities,19.31,
UK,GBR,developed,Europe,2019,equities,22.75,
UK,GBR,developed,Europe,2020,equities,-16.04,COVID-19
UK,GBR,developed,Europe,2021,equities,8.05,COVID recovery / stimulus
UK,GBR,developed,Europe,2022,equities,-1.8,Inflation / rate hike cycle
UK,GBR,developed,Europe,2023,equities,-3.38,Rates plateau
UK,GBR,developed,Europe,2024,equities,10.07,
Germany,DEU,developed,Europe,1985,equities,-1.87,
Germany,DEU,developed,Europe,1986,equities,14.48,
Germany,DEU,developed,Europe,1987,equities,20.37,Black Monday
Germany,DEU,developed,Europe,1988,equities,10.69,
Germany,DEU,developed,Europe,1989,equities,12.93,
Germany,DEU,developed,Europe,1990,equities,-9.33,Gulf War / S&L crisis
Germany,DEU,developed,Europe,1991,equities,3.04,Recession
Germany,DEU,developed,Europe,1992,equities,10.48,
Germany,DEU,developed,Europe,1993,equities,3.44,
Germany,DEU,developed,Europe,1994,equities,32.57,
Germany,DEU,developed,Europe,1995,equities,-0.36,
Germany,DEU,developed,Europe,1996,equities,14.22,
Germany,DEU,developed,Europe,1997,equities,34.16,Asian Financial Crisis
Germany,DEU,developed,Europe,1998,equities,-10.41,LTCM / Russia default
Germany,DEU,developed,Europe,1999,equities,5.38,
Germany,DEU,developed,Europe,2000,equities,20.84,
Germany,DEU,developed,Europe,2001,equities,12.1,Dot-com bust / 9-11
Germany,DEU,developed,Europe,2002,equities,17.47,Corporate scandals
Germany,DEU,developed,Europe,2003,equities,6.32,
Germany,DEU,developed,Europe,2004,equities,15.61,
Germany,DEU,developed,Europe,2005,equities,8.1,
Germany,DEU,developed,Europe,2006,equities,32.5,
Germany,DEU,developed,Europe,2007,equities,-0.49,
Germany,DEU,developed,Europe,2008,equities,7.0,Global Financial Crisis
Germany,DEU,developed,Europe,2009,equities,-29.8,GFC trough
Germany,DEU,developed,Europe,2010,equities,-2.72,
Germany,DEU,developed,Europe,2011,equities,-6.56,Euro debt crisis
Germany,DEU,developed,Europe,2012,equities,19.88,
Germany,DEU,developed,Europe,2013,equities,10.47,
Germany,DEU,developed,Europe,2014,equities,29.74,
Germany,DEU,developed,Europe,2015,equities,42.29,China slowdown
Germany,DEU,developed,Europe,2016,equities,11.32,
Germany,DEU,developed,Europe,2017,equities,7.18,
Germany,DEU,developed,Europe,2018,equities,22.82,
Germany,DEU,developed,Europe,2019,equities,-1.38,
Germany,DEU,developed,Europe,2020,equities,-11.1,COVID-19
Germany,DEU,developed,Europe,2021,equities,19.13,COVID recovery / stimulus
Germany,DEU,developed,Europe,2022,equities,-17.14,Inflation / rate hike cycle
Germany,DEU,developed,Europe,2023,equities,12.61,Rates plateau
Germany,DEU,developed,Europe,2024,equities,16.67,
France,FRA,developed,Europe,1985,equities,-9.68,
France,FRA,developed,Europe,1986,equities,22.74,
France,FRA,developed,Europe,1987,equities,9.18,Black Monday
France,FRA,developed,Europe,1988,equities,-3.08,
France,FRA,developed,Europe,1989,equities,11.6,
France,FRA,developed,Europe,1990,equities,-0.99,Gulf War / S&L crisis
France,FRA,developed,Europe,1991,equities,1.51,Recession
France,FRA,developed,Europe,1992,equities,-6.65,
France,FRA,developed,Europe,1993,equities,5.22,
France,FRA,developed,Europe,1994,equities,-8.99,
France,FRA,developed,Europe,1995,equities,-16.97,
France,FRA,developed,Europe,1996,equities,21.88,
France,FRA,developed,Europe,1997,equities,-8.58,Asian Financial Crisis
France,FRA,developed,Europe,1998,equities,11.09,LTCM / Russia default
France,FRA,developed,Europe,1999,equities,28.73,
France,FRA,developed,Europe,2000,equities,10.05,
France,FRA,developed,Europe,2001,equities,-4.54,Dot-com bust / 9-11
France,FRA,developed,Europe,2002,equities,12.42,Corporate scandals
France,FRA,developed,Europe,2003,equities,8.58,
France,FRA,developed,Europe,2004,equities,7.73,
France,FRA,developed,Europe,2005,equities,15.06,
France,FRA,developed,Europe,2006,equities,15.26,
France,FRA,developed,Europe,2007,equities,-7.25,
France,FRA,developed,Europe,2008,equities,8.71,Global Financial Crisis
France,FRA,developed,Europe,2009,equities,-5.83,GFC trough
France,FRA,developed,Europe,2010,equities,23.38,
France,FRA,developed,Europe,2011,equities,10.96,Euro debt crisis
France,FRA,developed,Europe,2012,equities,-9.66,
France,FRA,developed,Europe,2013,equities,21.77,
France,FRA,developed,Europe,2014,equities,18.27,
France,FRA,developed,Europe,2015,equities,8.34,China slowdown
France,FRA,developed,Europe,2016,equities,29.01,
France,FRA,developed,Europe,2017,equities,10.36,
France,FRA,developed,Europe,2018,equities,13.95,
France,FRA,developed,Europe,2019,equities,5.82,
France,FRA,developed,Europe,2020,equities,-15.32,COVID-19
France,FRA,developed,Europe,2021,equities,9.79,COVID recovery / stimulus
France,FRA,developed,Europe,2022,equities,25.2,Inflation / rate hike cycle
France,FRA,developed,Europe,2023,equities,17.26,Rates plateau
France,FRA,developed,Europe,2024,equities,6.59,
Italy,ITA,developed,Europe,1985,equities,13.59,
Italy,ITA,developed,Europe,1986,equities,10.99,
Italy,ITA,developed,Europe,1987,equities,-9.48,Black Monday
Italy,ITA,developed,Europe,1988,equities,-10.45,
Italy,ITA,developed,Europe,1989,equities,27.21,
Italy,ITA,developed,Europe,1990,equities,-14.69,Gulf War / S&L crisis
Italy,ITA,developed,Europe,1991,equities,-2.69,Recession
Italy,ITA,developed,Europe,1992,equities,8.55,
Italy,ITA,developed,Europe,1993,equities,22.15,
Italy,ITA,developed,Europe,1994,equities,3.92,
Italy,ITA,developed,Europe,1995,equities,9.79,
Italy,ITA,developed,Europe,1996,equities,3.17,
Italy,ITA,developed,Europe,1997,equities,-7.01,Asian Financial Crisis
Italy,ITA,developed,Europe,1998,equities,-10.72,LTCM / Russia default
Italy,ITA,developed,Europe,1999,equities,9.62,
Italy,ITA,developed,Europe,2000,equities,2.35,
Italy,ITA,developed,Europe,2001,equities,17.22,Dot-com bust / 9-11
Italy,ITA,developed,Europe,2002,equities,9.56,Corporate scandals
Italy,ITA,developed,Europe,2003,equities,-3.8,
Italy,ITA,developed,Europe,2004,equities,5.42,
Italy,ITA,developed,Europe,2005,equities,30.55,
Italy,ITA,developed,Europe,2006,equities,-1.08,
Italy,ITA,developed,Europe,2007,equities,11.15,
Italy,ITA,developed,Europe,2008,equities,-21.58,Global Financial Crisis
Italy,ITA,developed,Europe,2009,equities,-43.33,GFC trough
Italy,ITA,developed,Europe,2010,equities,-8.19,
Italy,ITA,developed,Europe,2011,equities,-10.16,Euro debt crisis
Italy,ITA,developed,Europe,2012,equities,17.77,
Italy,ITA,developed,Europe,2013,equities,-12.05,
Italy,ITA,developed,Europe,2014,equities,8.9,
Italy,ITA,developed,Europe,2015,equities,29.56,China slowdown
Italy,ITA,developed,Europe,2016,equities,-16.55,
Italy,ITA,developed,Europe,2017,equities,-17.02,
Italy,ITA,developed,Europe,2018,equities,-6.54,
Italy,ITA,developed,Europe,2019,equities,5.07,
Italy,ITA,developed,Europe,2020,equities,6.83,COVID-19
Italy,ITA,developed,Europe,2021,equities,7.31,COVID recovery / stimulus
Italy,ITA,developed,Europe,2022,equities,-5.79,Inflation / rate hike cycle
Italy,ITA,developed,Europe,2023,equities,10.23,Rates plateau
Italy,ITA,developed,Europe,2024,equities,-22.25,
Spain,ESP,developed,Europe,1985,equities,20.73,
Spain,ESP,developed,Europe,1986,equities,18.88,
Spain,ESP,developed,Europe,1987,equities,25.23,Black Monday
Spain,ESP,developed,Europe,1988,equities,10.13,
Spain,ESP,developed,Europe,1989,equities,9.35,
Spain,ESP,developed,Europe,1990,equities,30.4,Gulf War / S&L crisis
Spain,ESP,developed,Europe,1991,equities,-11.12,Recession
Spain,ESP,developed,Europe,1992,equities,9.01,
Spain,ESP,developed,Europe,1993,equities,2.21,
Spain,ESP,developed,Europe,1994,equities,7.64,
Spain,ESP,developed,Europe,1995,equities,26.55,
Spain,ESP,developed,Europe,1996,equities,32.05,
Spain,ESP,developed,Europe,1997,equities,22.91,Asian Financial Crisis
Spain,ESP,developed,Europe,1998,equities,7.07,LTCM / Russia default
Spain,ESP,developed,Europe,1999,equities,-1.02,
Spain,ESP,developed,Europe,2000,equities,-0.78,
Spain,ESP,developed,Europe,2001,equities,12.66,Dot-com bust / 9-11
Spain,ESP,developed,Europe,2002,equities,14.58,Corporate scandals
Spain,ESP,developed,Europe,2003,equities,10.17,
Spain,ESP,developed,Europe,2004,equities,12.12,
Spain,ESP,developed,Europe,2005,equities,24.16,
Spain,ESP,developed,Europe,2006,equities,23.17,
Spain,ESP,developed,Europe,2007,equities,20.14,
Spain,ESP,developed,Europe,2008,equities,7.15,Global Financial Crisis
Spain,ESP,developed,Europe,2009,equities,-17.12,GFC trough
Spain,ESP,developed,Europe,2010,equities,2.3,
Spain,ESP,developed,Europe,2011,equities,-6.3,Euro debt crisis
Spain,ESP,developed,Europe,2012,equities,7.75,
Spain,ESP,developed,Europe,2013,equities,19.94,
Spain,ESP,developed,Europe,2014,equities,9.88,
Spain,ESP,developed,Europe,2015,equities,-2.63,China slowdown
Spain,ESP,developed,Europe,2016,equities,24.09,
Spain,ESP,developed,Europe,2017,equities,13.9,
Spain,ESP,developed,Europe,2018,equities,24.45,
Spain,ESP,developed,Europe,2019,equities,15.47,
Spain,ESP,developed,Europe,2020,equities,-13.14,COVID-19
Spain,ESP,developed,Europe,2021,equities,3.03,COVID recovery / stimulus
Spain,ESP,developed,Europe,2022,equities,20.58,Inflation / rate hike cycle
Spain,ESP,developed,Europe,2023,equities,10.81,Rates plateau
Spain,ESP,developed,Europe,2024,equities,17.69,
Netherlands,NLD,developed,Europe,1985,equities,0.53,
Netherlands,NLD,developed,Europe,1986,equities,11.84,
Netherlands,NLD,developed,Europe,1987,equities,10.06,Black Monday
Netherlands,NLD,developed,Europe,1988,equities,2.05,
Netherlands,NLD,developed,Europe,1989,equities,4.89,
Netherlands,NLD,developed,Europe,1990,equities,9.25,Gulf War / S&L crisis
Netherlands,NLD,developed,Europe,1991,equities,-2.88,Recession
Netherlands,NLD,developed,Europe,1992,equities,1.12,
Netherlands,NLD,developed,Europe,1993,equities,-11.55,
Netherlands,NLD,developed,Europe,1994,equities,19.59,
Netherlands,NLD,developed,Europe,1995,equities,-9.06,
Netherlands,NLD,developed,Europe,1996,equities,6.9,
Netherlands,NLD,developed,Europe,1997,equities,-13.73,Asian Financial Crisis
Netherlands,NLD,developed,Europe,1998,equities,3.52,LTCM / Russia default
Netherlands,NLD,developed,Europe,1999,equities,10.36,
Netherlands,NLD,developed,Europe,2000,equities,19.74,
Netherlands,NLD,developed,Europe,2001,equities,2.39,Dot-com bust / 9-11
Netherlands,NLD,developed,Europe,2002,equities,8.38,Corporate scandals
Netherlands,NLD,developed,Europe,2003,equities,9.2,
Netherlands,NLD,developed,Europe,2004,equities,18.04,
Netherlands,NLD,developed,Europe,2005,equities,-5.32,
Netherlands,NLD,developed,Europe,2006,equities,1.62,
Netherlands,NLD,developed,Europe,2007,equities,36.84,
Netherlands,NLD,developed,Europe,2008,equities,-22.56,Global Financial Crisis
Netherlands,NLD,developed,Europe,2009,equities,-12.42,GFC trough
Netherlands,NLD,developed,Europe,2010,equities,4.92,
Netherlands,NLD,developed,Europe,2011,equities,-4.43,Euro debt crisis
Netherlands,NLD,developed,Europe,2012,equities,-4.71,
Netherlands,NLD,developed,Europe,2013,equities,11.02,
Netherlands,NLD,developed,Europe,2014,equities,26.56,
Netherlands,NLD,developed,Europe,2015,equities,7.05,China slowdown
Netherlands,NLD,developed,Europe,2016,equities,20.99,
Netherlands,NLD,developed,Europe,2017,equities,5.29,
Netherlands,NLD,developed,Europe,2018,equities,22.36,
Netherlands,NLD,developed,Europe,2019,equities,7.06,
Netherlands,NLD,developed,Europe,2020,equities,-27.87,COVID-19
Netherlands,NLD,developed,Europe,2021,equities,24.24,COVID recovery / stimulus
Netherlands,NLD,developed,Europe,2022,equities,15.7,Inflation / rate hike cycle
Netherlands,NLD,developed,Europe,2023,equities,-14.86,Rates plateau
Netherlands,NLD,developed,Europe,2024,equities,12.87,
Sweden,SWE,developed,Europe,1985,equities,-4.1,
Sweden,SWE,developed,Europe,1986,equities,41.45,
Sweden,SWE,developed,Europe,1987,equities,9.42,Black Monday
Sweden,SWE,developed,Europe,1988,equities,4.54,
Sweden,SWE,developed,Europe,1989,equities,9.7,
Sweden,SWE,developed,Europe,1990,equities,9.1,Gulf War / S&L crisis
Sweden,SWE,developed,Europe,1991,equities,8.1,Recession
Sweden,SWE,developed,Europe,1992,equities,5.74,
Sweden,SWE,developed,Europe,1993,equities,-4.62,
Sweden,SWE,developed,Europe,1994,equities,-13.93,
Sweden,SWE,developed,Europe,1995,equities,-8.2,
Sweden,SWE,developed,Europe,1996,equities,-5.39,
Sweden,SWE,developed,Europe,1997,equities,-0.08,Asian Financial Crisis
Sweden,SWE,developed,Europe,1998,equities,25.6,LTCM / Russia default
Sweden,SWE,developed,Europe,1999,equities,-4.23,
Sweden,SWE,developed,Europe,2000,equities,7.04,
Sweden,SWE,developed,Europe,2001,equities,9.08,Dot-com bust / 9-11
Sweden,SWE,developed,Europe,2002,equities,10.02,Corporate scandals
Sweden,SWE,developed,Europe,2003,equities,20.38,
Sweden,SWE,developed,Europe,2004,equities,12.54,
Sweden,SWE,developed,Europe,2005,equities,-1.21,
Sweden,SWE,developed,Europe,2006,equities,28.18,
Sweden,SWE,developed,Europe,2007,equities,12.75,
Sweden,SWE,developed,Europe,2008,equities,0.15,Global Financial Crisis
Sweden,SWE,developed,Europe,2009,equities,-9.92,GFC trough
Sweden,SWE,developed,Europe,2010,equities,13.7,
Sweden,SWE,developed,Europe,2011,equities,-10.75,Euro debt crisis
Sweden,SWE,developed,Europe,2012,equities,2.98,
Sweden,SWE,developed,Europe,2013,equities,24.6,
Sweden,SWE,developed,Europe,2014,equities,1.43,
Sweden,SWE,developed,Europe,2015,equities,-7.95,China slowdown
Sweden,SWE,developed,Europe,2016,equities,3.44,
Sweden,SWE,developed,Europe,2017,equities,20.59,
Sweden,SWE,developed,Europe,2018,equities,44.99,
Sweden,SWE,developed,Europe,2019,equities,16.73,
Sweden,SWE,developed,Europe,2020,equities,-1.24,COVID-19
Sweden,SWE,developed,Europe,2021,equities,16.69,COVID recovery / stimulus
Sweden,SWE,developed,Europe,2022,equities,2.4,Inflation / rate hike cycle
Sweden,SWE,developed,Europe,2023,equities,10.28,Rates plateau
Sweden,SWE,developed,Europe,2024,equities,18.83,
Switzerland,CHE,developed,Europe,1985,equities,10.27,
Switzerland,CHE,developed,Europe,1986,equities,28.35,
Switzerland,CHE,developed,Europe,1987,equities,19.88,Black Monday
Switzerland,CHE,developed,Europe,1988,equities,11.92,
Switzerland,CHE,developed,Europe,1989,equities,-2.59,
Switzerland,CHE,developed,Europe,1990,equities,21.03,Gulf War / S&L crisis
Switzerland,CHE,developed,Europe,1991,equities,6.83,Recession
Switzerland,CHE,developed,Europe,1992,equities,12.23,
Switzerland,CHE,developed,Europe,1993,equities,-2.93,
Switzerland,CHE,developed,Europe,1994,equities,1.15,
Switzerland,CHE,developed,Europe,1995,equities,5.71,
Switzerland,CHE,developed,Europe,1996,equities,16.5,
Switzerland,CHE,developed,Europe,1997,equities,-3.55,Asian Financial Crisis
Switzerland,CHE,developed,Europe,1998,equities,0.54,LTCM / Russia default
Switzerland,CHE,developed,Europe,1999,equities,12.23,
Switzerland,CHE,developed,Europe,2000,equities,53.08,
Switzerland,CHE,developed,Europe,2001,equities,12.51,Dot-com bust / 9-11
Switzerland,CHE,developed,Europe,2002,equities,1.43,Corporate scandals
Switzerland,CHE,developed,Europe,2003,equities,-1.57,
Switzerland,CHE,developed,Europe,2004,equities,15.08,
Switzerland,CHE,developed,Europe,2005,equities,14.39,
Switzerland,CHE,developed,Europe,2006,equities,10.14,
Switzerland,CHE,developed,Europe,2007,equities,21.66,
Switzerland,CHE,developed,Europe,2008,equities,-32.69,Global Financial Crisis
Switzerland,CHE,developed,Europe,2009,equities,1.03,GFC trough
Switzerland,CHE,developed,Europe,2010,equities,0.98,
Switzerland,CHE,developed,Europe,2011,equities,-12.58,Euro debt crisis
Switzerland,CHE,developed,Europe,2012,equities,1.48,
Switzerland,CHE,developed,Europe,2013,equities,-1.75,
Switzerland,CHE,developed,Europe,2014,equities,12.57,
Switzerland,CHE,developed,Europe,2015,equities,-4.01,China slowdown
Switzerland,CHE,developed,Europe,2016,equities,10.0,
Switzerland,CHE,developed,Europe,2017,equities,13.41,
Switzerland,CHE,developed,Europe,2018,equities,26.5,
Switzerland,CHE,developed,Europe,2019,equities,-10.15,
Switzerland,CHE,developed,Europe,2020,equities,-0.86,COVID-19
Switzerland,CHE,developed,Europe,2021,equities,3.92,COVID recovery / stimulus
Switzerland,CHE,developed,Europe,2022,equities,3.7,Inflation / rate hike cycle
Switzerland,CHE,developed,Europe,2023,equities,17.22,Rates plateau
Switzerland,CHE,developed,Europe,2024,equities,5.65,
Japan,JPN,developed,Asia,1985,equities,17.02,
Japan,JPN,developed,Asia,1986,equities,15.17,
Japan,JPN,developed,Asia,1987,equities,6.68,Black Monday
Japan,JPN,developed,Asia,1988,equities,27.96,
Japan,JPN,developed,Asia,1989,equities,26.46,
Japan,JPN,developed,Asia,1990,equities,11.08,Gulf War / S&L crisis
Japan,JPN,developed,Asia,1991,equities,-17.42,Recession
Japan,JPN,developed,Asia,1992,equities,-7.82,
Japan,JPN,developed,Asia,1993,equities,16.44,
Japan,JPN,developed,Asia,1994,equities,19.03,
Japan,JPN,developed,Asia,1995,equities,-2.27,
Japan,JPN,developed,Asia,1996,equities,7.68,
Japan,JPN,developed,Asia,1997,equities,-6.51,Asian Financial Crisis
Japan,JPN,developed,Asia,1998,equities,19.23,LTCM / Russia default
Japan,JPN,developed,Asia,1999,equities,5.82,
Japan,JPN,developed,Asia,2000,equities,-0.18,
Japan,JPN,developed,Asia,2001,equities,-13.63,Dot-com bust / 9-11
Japan,JPN,developed,Asia,2002,equities,7.94,Corporate scandals
Japan,JPN,developed,Asia,2003,equities,9.48,
Japan,JPN,developed,Asia,2004,equities,10.52,
Japan,JPN,developed,Asia,2005,equities,12.27,
Japan,JPN,developed,Asia,2006,equities,12.89,
Japan,JPN,developed,Asia,2007,equities,6.3,
Japan,JPN,developed,Asia,2008,equities,-0.5,Global Financial Crisis
Japan,JPN,developed,Asia,2009,equities,-17.38,GFC trough
Japan,JPN,developed,Asia,2010,equities,-2.93,
Japan,JPN,developed,Asia,2011,equities,14.02,Euro debt crisis
Japan,JPN,developed,Asia,2012,equities,-2.5,
Japan,JPN,developed,Asia,2013,equities,-0.13,
Japan,JPN,developed,Asia,2014,equities,10.87,
Japan,JPN,developed,Asia,2015,equities,16.15,China slowdown
Japan,JPN,developed,Asia,2016,equities,4.9,
Japan,JPN,developed,Asia,2017,equities,19.98,
Japan,JPN,developed,Asia,2018,equities,11.17,
Japan,JPN,developed,Asia,2019,equities,25.31,
Japan,JPN,developed,Asia,2020,equities,14.31,COVID-19
Japan,JPN,developed,Asia,2021,equities,-2.82,COVID recovery / stimulus
Japan,JPN,developed,Asia,2022,equities,-9.09,Inflation / rate hike cycle
Japan,JPN,developed,Asia,2023,equities,0.75,Rates plateau
Japan,JPN,developed,Asia,2024,equities,-1.12,
Australia,AUS,developed,AsiaPacific,1985,equities,11.29,
Australia,AUS,developed,AsiaPacific,1986,equities,9.62,
Australia,AUS,developed,AsiaPacific,1987,equities,4.62,Black Monday
Australia,AUS,developed,AsiaPacific,1988,equities,-0.69,
Australia,AUS,developed,AsiaPacific,1989,equities,2.25,
Australia,AUS,developed,AsiaPacific,1990,equities,26.95,Gulf War / S&L crisis
Australia,AUS,developed,AsiaPacific,1991,equities,10.17,Recession
Australia,AUS,developed,AsiaPacific,1992,equities,18.73,
Australia,AUS,developed,AsiaPacific,1993,equities,17.21,
Australia,AUS,developed,AsiaPacific,1994,equities,15.82,
Australia,AUS,developed,AsiaPacific,1995,equities,4.13,
Australia,AUS,developed,AsiaPacific,1996,equities,17.97,
Australia,AUS,developed,AsiaPacific,1997,equities,8.77,Asian Financial Crisis
Australia,AUS,developed,AsiaPacific,1998,equities,-11.13,LTCM / Russia default
Australia,AUS,developed,AsiaPacific,1999,equities,6.91,
Australia,AUS,developed,AsiaPacific,2000,equities,4.18,
Australia,AUS,developed,AsiaPacific,2001,equities,-0.63,Dot-com bust / 9-11
Australia,AUS,developed,AsiaPacific,2002,equities,-10.0,Corporate scandals
Australia,AUS,developed,AsiaPacific,2003,equities,13.14,
Australia,AUS,developed,AsiaPacific,2004,equities,24.51,
Australia,AUS,developed,AsiaPacific,2005,equities,-1.59,
Australia,AUS,developed,AsiaPacific,2006,equities,-0.85,
